tree,green,temp
1,0.6,74.008673
0,0.65,75.55922801
0.05,0.65,75.48479395
0.1,0.65,75.41049444
0.15,0.65,75.33579211
0.2,0.65,75.25896477
0.25,0.65,75.17908628
0.3,0.65,75.09664336
0.35,0.65,75.01184419
0.4,0.65,74.92419673
0.45,0.65,74.8330726
0.5,0.65,74.73825322
0.55,0.65,74.64033181
0.6,0.65,74.54040532
0.65,0.65,74.43954433
0.7,0.65,74.33856114
0.75,0.65,74.23757794
0.8,0.65,74.13659475
0.85,0.65,74.03561155
0.9,0.65,73.93462836
0.95,0.65,73.83364516
1,0.65,73.73266197
0,0.7,75.28321698
0.05,0.7,75.20878291
0.1,0.7,75.1344834
0.15,0.7,75.05978107
0.2,0.7,74.98295373
0.25,0.7,74.90307524
0.3,0.7,74.82063232
0.35,0.7,74.73583315
0.4,0.7,74.64818569
0.45,0.7,74.55706157
0.5,0.7,74.46224218
0.55,0.7,74.36432078
0.6,0.7,74.26439428
0.65,0.7,74.16353329
0.7,0.7,74.0625501
0.75,0.7,73.9615669
0.8,0.7,73.86058371
0.85,0.7,73.75960051
0.9,0.7,73.65861732
0.95,0.7,73.55763412
1,0.7,73.45665093
0,0.75,75.00720594
0.05,0.75,74.93277187
0.1,0.75,74.85847236
0.15,0.75,74.78377003
0.2,0.75,74.70694269
0.25,0.75,74.6270642
0.3,0.75,74.54462129
0.35,0.75,74.45982211
0.4,0.75,74.37217466
0.45,0.75,74.28105053
0.5,0.75,74.18623114
0.55,0.75,74.08830974
0.6,0.75,73.98838324
0.65,0.75,73.88752226
0.7,0.75,73.78653906
0.75,0.75,73.68555587
0.8,0.75,73.58457267
0.85,0.75,73.48358948
0.9,0.75,73.38260628
0.95,0.75,73.28162309
1,0.75,73.18063989
0,0.8,74.7311949
0.05,0.8,74.65676084
0.1,0.8,74.58246132
0.15,0.8,74.507759
0.2,0.8,74.43093165
0.25,0.8,74.35105316
0.3,0.8,74.26861025
0.35,0.8,74.18381107
0.4,0.8,74.09616362
0.45,0.8,74.00503949
0.5,0.8,73.9102201
0.55,0.8,73.8122987
0.6,0.8,73.71237221
0.65,0.8,73.61151122
0.7,0.8,73.51052802
0.75,0.8,73.40954483
0.8,0.8,73.30856163
0.85,0.8,73.20757844
0.9,0.8,73.10659524
0.95,0.8,73.00561205
1,0.8,72.90462885
0,0.85,74.45518386
0.05,0.85,74.3807498
0.1,0.85,74.30645029
0.15,0.85,74.23174796
0.2,0.85,74.15492062
0.25,0.85,74.07504213
0.3,0.85,73.99259921
0.35,0.85,73.90780004
0.4,0.85,73.82015258
0.45,0.85,73.72902845
0.5,0.85,73.63420907
0.55,0.85,73.53628766
0.6,0.85,73.43636117
0.65,0.85,73.33550018
0.7,0.85,73.23451699
0.75,0.85,73.13353379
0.8,0.85,73.0325506
0.85,0.85,72.9315674
0.9,0.85,72.83058421
0.95,0.85,72.72960101
1,0.85,72.62861781
0,0.9,74.17917282
0.05,0.9,74.10473876
0.1,0.9,74.03043925
0.15,0.9,73.95573692
0.2,0.9,73.87890958
0.25,0.9,73.79903109
0.3,0.9,73.71658817
0.35,0.9,73.631789
0.4,0.9,73.54414154
0.45,0.9,73.45301742
0.5,0.9,73.35819803
0.55,0.9,73.26027663
0.6,0.9,73.16035013
0.65,0.9,73.05948914
0.7,0.9,72.95850595
0.75,0.9,72.85752275
0.8,0.9,72.75653956
0.85,0.9,72.65555636
0.9,0.9,72.55457317
0.95,0.9,72.45358997
1,0.9,72.35260678
0,0.95,73.90316179
0.05,0.95,73.82872772
0.1,0.95,73.75442821
0.15,0.95,73.67972588
0.2,0.95,73.60289854
0.25,0.95,73.52302005
0.3,0.95,73.44057714
0.35,0.95,73.35577796
0.4,0.95,73.26813051
0.45,0.95,73.17700638
0.5,0.95,73.08218699
0.55,0.95,72.98426559
0.6,0.95,72.88433909
0.65,0.95,72.78347811
0.7,0.95,72.68249491
0.75,0.95,72.58151172
0.8,0.95,72.48052852
0.85,0.95,72.37954533
0.9,0.95,72.27856213
0.95,0.95,72.17757893
1,0.95,72.07659574
0,1,73.62715075
0.05,1,73.55271669
0.1,1,73.47841717
0.15,1,73.40371485
0.2,1,73.3268875
0.25,1,73.24700901
0.3,1,73.1645661
0.35,1,73.07976692
0.4,1,72.99211947
0.45,1,72.90099534
0.5,1,72.80617595
0.55,1,72.70825455
0.6,1,72.60832806
0.65,1,72.50746707
0.7,1,72.40648387
0.75,1,72.30550068
0.8,1,72.20451748
0.85,1,72.10353429
0.9,1,72.00255109
0.95,1,71.9015679
1,1,71.8005847
